PG,KO,NOC,HRL,CVX,CCI,KMI,COP,VZ,GOOG,AMZN,BA,JNJ,ABBV,QCOM,PFE,WMT,BRK
76.800003,38.189999,95.449997,21.014999,121.599998,72.510002,35.650002,69.690002,46.57,431.731995,313.410004,117.349998,86.330002,44.52,66.940002,28.709999,74.279999,113.739998
75.519997,38,95.190002,21,121.269997,73.209999,35.630001,69.459999,46.619999,437.280914,314.220001,117.970001,86.589996,44.810001,67.400002,28.58,73.870003,113.739998
75.910004,37.810001,95.839996,21.200001,121.040001,71.650002,35.970001,70.019997,46.84,438.512909,318.040009,117.379997,87.129997,45.34,67.029999,28.690001,73.389999,113.550003
75.889999,37.459999,95.089996,21.049999,120.620003,71.349998,35.720001,70.190002,46.68,441.130859,320.390015,117.349998,87.190002,45.599998,67.720001,29.02,73.529999,114.050003
75.980003,37.25,93.089996,20.825001,118.5,71.209999,35.400002,70.18,47.049999,434.672882,315.130005,115.269997,86.82,46.18,67.25,28.83,73.010002,113.410004
75.660004,37.080002,92.919998,20.879999,117.43,71.110001,35.150002,70.400002,46.880001,430.922272,315.23999,115.510002,86.699997,46.119999,66.389999,28.73,72.419998,112.989998
76.389999,37.099998,94.800003,20.889999,117.889999,71.150002,35,70.769997,46.720001,429.864136,311.5,116.669998,86.620003,46.290001,67.18,28.6,71.849998,112.860001
76.580002,37.380001,94.099998,20.83,116.550003,70.470001,34.599998,70.239998,46.209999,425.373352,303.420013,115.400002,85.93,44.720001,66.550003,28.25,72.830002,111.660004
77.410004,37.77,94.849998,21.055,115.239998,70.800003,35.060001,69.800003,46.650002,429.128937,304.630005,116.099998,86.720001,45.099998,66.220001,28.620001,73.480003,113.139999
78,37.919998,97.150002,21.355,116.57,70.839996,35.130001,70.82,46.810001,430.216858,304.769989,118.599998,88.620003,45.700001,66.959999,28.92,74.610001,114.849998
78.010002,37.560001,97.699997,21.440001,117.330002,71.050003,35.400002,71.300003,46.790001,430.529816,309.220001,117.419998,88.830002,45.209999,67.110001,28.559999,74.339996,114.989998
78.379997,38.18,98.830002,21.395,118.559998,71.720001,35.150002,71.900002,46.799999,435.050415,309.869995,119.419998,90.330002,46.049999,68,29.209999,74.43,115.849998
77.349998,38.009998,98.019997,21.504999,119.419998,72.389999,35.360001,72.32,46.599998,440.072754,308.380005,118.779999,90.419998,46.310001,68.5,29.26,74.809998,115.199997
78.190002,38.060001,98.510002,21.514999,119.099998,74.169998,35.52,72.68,48.57,443.609741,307.070007,119.809998,90.870003,46.950001,68.290001,29.82,75.489998,116.650002
79.389999,38.580002,100.879997,21.73,119.610001,76.93,35.380001,73.580002,49.360001,485.134674,319.359985,122.5,91.75,48.380001,68.470001,30.190001,75.800003,117.470001
79.269997,38.950001,101.739998,21.365,119.629997,74.029999,35.470001,73.529999,50.009998,502.461975,329.890015,122.690002,91.629997,48.080002,68.510002,30.469999,75.720001,116.949997
79.309998,38.860001,100.660004,21.52,120.139999,75.519997,35.529999,73.260002,50.560001,499.252838,327.720001,122,91.529999,48.389999,68.849998,30.379999,75.43,117.190002
80.339996,39.080002,102.5,21.559999,120.290001,74.050003,36.189999,72.919998,51.029999,497.265778,330.839996,126,92.07,48.759998,68.260002,30.65,76.18,117.099998
80.769997,39.150002,105.959999,21.91,120.669998,74.18,36.049999,72.669998,51.040001,512.601013,329.630005,129.009995,92.650002,48.630001,67.459999,30.68,76.029999,116.949997
80.550003,38.84,107.279999,21.885,120.589996,76.050003,36.450001,73.529999,50.330002,511.085876,358.600006,129.25,92.040001,49.099998,67.199997,30.48,76.370003,116.779999
80.110001,39.02,108.089996,21.809999,120.559998,76.199997,36.580002,73.910004,50.689999,504.319885,359.920013,128.75,91.959999,49.130001,68.389999,30.450001,76.160004,117.18
81.459999,39.57,107.889999,21.795,121.330002,75.839996,35.919998,74.199997,50.619999,506.257294,358.959991,129.350006,92.800003,49.48,68.730003,30.84,77.25,116.910004
82.529999,39.880001,108.550003,22.055,121.540001,76.550003,35.900002,74.400002,51.389999,515.363037,362.619995,129.559998,93.269997,49.57,68.989998,31.25,77.269997,117.559998
81.199997,39.509998,107.739998,21.809999,120.150002,76.620003,35.490002,73.660004,50.490002,511.140533,361.730011,129.839996,92.849998,48.68,69.190002,30.780001,76.879997,116.32
80.68,39.57,107.57,21.700001,119.040001,75.940002,35.240002,73.559998,50.790001,512.561279,365.630005,130.899994,92.379997,48.639999,69.529999,30.700001,76.970001,115.279999
81.459999,39.709999,108.449997,21.785,118.589996,75.43,35.43,73.370003,50.919998,512.417236,360.119995,133.75,93.459999,49.189999,70.139999,31.16,77.220001,115.779999
81.129997,39.360001,108.489998,21.57,117.599998,75.010002,35,73.029999,50.810001,506.878235,356.779999,132.029999,92.540001,48.59,69.25,31.190001,76.809998,114.470001
81.639999,39.619999,109.330002,21.790001,119.300003,76.230003,35.25,73.190002,50.380001,509.486298,360.450012,134.020004,93.029999,48.5,69.43,31.23,77.639999,114.690002
82.910004,40.080002,109.68,21.995001,121.599998,76.5,35.200001,73.849998,50.549999,508.000946,355.859985,133.440002,93.190002,48.169998,66.830002,30.99,78.190002,115.120003
82.279999,39.740002,108.730003,21.434999,119.669998,75.620003,34.759998,72.489998,50.060001,501.115723,345.950012,131.279999,92.629997,47.130001,67.419998,30.879999,77.489998,113.5
82.349998,40.009998,110.230003,21.639999,121.18,74.75,35.029999,73.459999,50.119999,501.493256,350.589996,133.139999,93.970001,48.23,67.300003,31.219999,77.860001,115.5
82.230003,39.91,110,21.370001,121.029999,74.489998,34.73,73.25,50.009998,500.594116,352.98999,132.399994,93.980003,48.450001,67.540001,31.18,78.849998,115.309998
82.57,39.82,109.010002,21.35,119.580002,74.370003,34.549999,72.739998,49.880001,500.122192,347.399994,131.919998,93.360001,47.360001,68.989998,31.280001,78.419998,113.760002
83.43,40.09,109.980003,21.709999,119.580002,74.720001,34.57,73.580002,50.09,513.619385,357.390015,133.699997,93.400002,47.990002,69.980003,31.940001,77.75,114.860001
84.169998,40.16,109.629997,21.985001,119.779999,75.260002,35.200001,73.550003,50.16,514.091309,367.630005,135.360001,93.629997,48.029999,71.339996,31.83,78.93,115.339996
